date;IndustryAdType;ProgramName;Intentionality
4.13.2019;Healthy Fast Food Chain;Waltzing with the Famous;0.233
4.13.2019;Healthy Fast Food Chain;Orlando Vice;0.086
4.13.2019;Healthy Fast Food Chain;Orlando Vice;0.086
4.13.2019;Healthy Fast Food Chain;Maui Five Ten;0.232
4.13.2019;Healthy Fast Food Chain;Maui Five Ten;0.232
4.13.2019;Healthy Fast Food Chain;Freaky Vacations;-0.094
4.13.2019;Healthy Fast Food Chain;Nightly News Stories;-0.003
4.13.2019;Healthy Fast Food Chain;Fix and Flip;0.023
4.13.2019;Healthy Fast Food Chain;Sister Home Sellers;0.256
4.13.2019;Healthy Fast Food Chain;New Gal;-0.198
4.13.2019;Healthy Fast Food Chain;Planet Hypothesis;0.152
4.13.2019;Healthy Fast Food Chain;Planet Hypothesis;0.152
4.13.2019;Healthy Fast Food Chain;ER Drama;0.493
4.13.2019;Online Dating Site;Portable Homes;-0.068
4.13.2019;Popular Soft Drink;Rescue Squad;0.417
4.13.2019;Popular Soft Drink;Fix and Flip;0.023
4.13.2019;Popular Soft Drink;Portable Homes;-0.068
4.13.2019;Popular Soft Drink;Sister Home Sellers;0.256
4.13.2019;Retail Big Box Store;Together Forever;-0.052
4.13.2019;Retail Big Box Store;Together Forever;-0.052
4.13.2019;Retail Big Box Store;Waltzing with the Famous;0.233
4.13.2019;Retail Big Box Store;Waltzing with the Famous;0.233
4.13.2019;Retail Big Box Store;Orlando Vice;0.086
4.13.2019;Retail Big Box Store;Orlando Vice;0.086
4.13.2019;Retail Big Box Store;Maui Five Ten;0.232
4.13.2019;Retail Big Box Store;Maui Five Ten;0.232
4.13.2019;Retail Big Box Store;Rescue Squad;0.417
4.13.2019;Retail Big Box Store;Neighborhood Patrol;0.183
4.13.2019;Retail Big Box Store;Family Fraud;-0.022
4.13.2019;Retail Big Box Store;The Young and the Reckless;-0.178
4.13.2019;Retail Big Box Store;The Young and the Reckless;-0.178
4.13.2019;Retail Big Box Store;The Evening Show;0.414
4.13.2019;Retail Big Box Store;Tonight Tonight;0.09
4.13.2019;Retail Big Box Store;Tonight Tonight;0.09
4.13.2019;Retail Big Box Store;Late Hours;0.125
4.13.2019;Retail Big Box Store;Late Hours;0.125
4.13.2019;Retail Big Box Store;Nightly News Stories;-0.003
4.13.2019;Retail Big Box Store;Fix and Flip;0.023
4.13.2019;Retail Big Box Store;Fix and Flip;0.023
4.13.2019;Retail Big Box Store;Portable Homes;-0.068
4.13.2019;Retail Big Box Store;Sister Home Sellers;0.256
4.13.2019;Retail Big Box Store;Sister Home Sellers;0.256
4.13.2019;Retail Big Box Store;New Gal;-0.198
4.13.2019;Retail Big Box Store;Planet Hypothesis;0.152
4.13.2019;Retail Big Box Store;Planet Hypothesis;0.152
4.13.2019;Retail Big Box Store;ER Drama;0.493
4.13.2019;Sport Utility VehiHealthy Fast Food Chainle Sales;Together Forever;-0.052
4.13.2019;Sport Utility VehiHealthy Fast Food Chainle Sales;Together Forever;-0.052
4.13.2019;Sport Utility VehiHealthy Fast Food Chainle Sales;Waltzing with the Famous;0.233
4.13.2019;Sport Utility VehiHealthy Fast Food Chainle Sales;Waltzing with the Famous;0.233
4.13.2019;Sport Utility VehiHealthy Fast Food Chainle Sales;Orlando Vice;0.086
4.13.2019;Sport Utility VehiHealthy Fast Food Chainle Sales;Orlando Vice;0.086
