model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize,brand,ID
 Tiguan,2020,29999,Automatic,2728,Diesel,145,47.9,2.0,VW,40452
 Up,2018,8750,Manual,12500,Petrol,145,64.2,1.0,VW,33997
 2 Series,2019,22646,Manual,123,Petrol,145,52.3,1.5,BMW,24566
 1 Series,2019,21950,Manual,5013,Petrol,145,44.1,1.5,BMW,30438
 X3,2013,13100,Automatic,64455,Diesel,160,50.4,2.0,BMW,22552
 Arteon,2019,27399,Automatic,2536,Diesel,145,50.4,2.0,VW,3316
 Tiguan,2019,28990,Semi-Auto,4574,Diesel,145,39.8,2.0,VW,21353
 Q5,2020,38750,Semi-Auto,2000,Diesel,145,38.2,2.0,Audi,10439
 Passat,2015,11498,Semi-Auto,64744,Diesel,30,62.8,2.0,VW,33330
 Golf,2017,14000,Manual,33000,Diesel,145,67.3,2.0,VW,14341
 A6,2003,2495,Manual,129000,Diesel,325,31.7,2.5,Audi,44429
 E Class,2018,22699,Semi-Auto,18770,Diesel,145,67.3,2.0,Mercedes,19254
 A6,2014,12498,Manual,44219,Diesel,30,62.8,2.0,Audi,21443
 Golf,2014,9699,Manual,32362,Petrol,30,53.3,1.4,VW,23826
 Golf,2016,18495,Semi-Auto,30638,Petrol,200,40.4,2.0,VW,45768
 1 Series,2019,16380,Manual,101,Petrol,145,53.3,1.5,BMW,11267
 Golf,2018,13750,Manual,32152,Petrol,150,54.3,1.4,VW,31603
 Polo,2017,10995,Manual,16718,Petrol,145,60.1,1.2,VW,2399
 Golf,2013,8632,Semi-Auto,51148,Petrol,30,56.5,1.4,VW,18947
 3 Series,2020,32995,Semi-Auto,1501,Diesel,145,50.4,2.0,BMW,40567
 Q3,2020,34000,Semi-Auto,4500,Petrol,145,39.2,1.5,Audi,34524
 Tiguan,2017,21290,Semi-Auto,19620,Diesel,125,57.6,2.0,VW,29469
 4 Series,2019,23350,Automatic,9189,Diesel,145,65.7,2.0,BMW,5722
 5 Series,2018,24998,Semi-Auto,21756,Diesel,150,60.1,2.0,BMW,42591
 C Class,2017,23149,Semi-Auto,7900,Diesel,30,65.7,2.1,Mercedes,16202
 A Class,2017,16980,Automatic,21430,Petrol,145,52.3,1.6,Mercedes,45776
 Q5,2016,21495,Semi-Auto,34821,Diesel,200,47.1,2.0,Audi,26780
 C Class,2017,19000,Automatic,24798,Diesel,20,68.9,2.1,Mercedes,961
 3 Series,2017,21400,Automatic,22865,Diesel,145,49.6,3.0,BMW,40845
 1 Series,2012,7500,Manual,62000,Petrol,145,49.6,1.6,BMW,43168
 A3,2015,11495,Manual,34468,Diesel,0,74.3,1.6,Audi,19036
 Polo,2019,23282,Semi-Auto,6000,Petrol,145,39.8,2.0,VW,10507
 E Class,2015,11995,Semi-Auto,75229,Diesel,125,60.1,2.1,Mercedes,23050
 E Class,2019,26026,Automatic,14140,Diesel,145,72.4,2.0,Mercedes,20091
 C Class,2019,30889,Automatic,8500,Diesel,145,61.4,2.0,Mercedes,45496
 C Class,2016,16900,Automatic,18107,Diesel,20,64.2,2.1,Mercedes,19936
 Polo,2019,15690,Manual,5456,Petrol,150,49.6,1.0,VW,36366
 Tiguan,2017,19690,Manual,8829,Petrol,145,48.7,1.4,VW,26201
 Polo,2016,9230,Manual,23912,Petrol,20,60.1,1.2,VW,13080
 A Class,2017,17712,Semi-Auto,28663,Petrol,125,52.3,1.6,Mercedes,22591
 C Class,2019,25995,Automatic,4235,Diesel,145,60.1,1.6,Mercedes,13299
 Q3,2017,20995,Automatic,11000,Petrol,145,42.2,2.0,Audi,38846
